trade_type,entry_time,entry_price,exit_time,exit_price,size,gross_pnl_inr,swap_charges_inr,fees_inr,mae_inr,net_pnl_inr,margin_inr,status
LONG,2024-07-18 22:00:00,29.72531,2024-09-13 13:00:00,30.22531,0.01000,2200.00000,-1138.29000,88.74000,14319.42160,972.97000,79.46000,CLOSED_TP
LONG,2024-08-26 01:30:00,29.73677,2024-09-13 13:00:00,30.23677,0.01000,2200.00000,-359.46000,88.74000,8991.70360,1751.80000,79.46000,CLOSED_TP
LONG,2024-08-28 01:45:00,29.86721,2024-09-13 13:00:00,30.36721,0.01000,2200.00000,-319.52000,88.74000,9565.65940,1791.74000,79.46000,CLOSED_TP
LONG,2024-05-30 02:30:00,31.36249,2024-09-13 13:30:00,30.73420,0.01000,-2764.46280,-2116.82000,88.74000,21522.98280,-4970.02280,79.46000,CLOSED_90_DAY_RULE
LONG,2024-07-18 14:30:00,30.22531,2024-09-13 13:30:00,30.72531,0.01000,2200.00000,-1138.29000,88.74000,16519.42160,972.97000,79.46000,CLOSED_TP
LONG,2024-07-17 14:15:00,30.43057,2024-09-15 23:00:00,30.93057,0.01000,2200.00000,-1198.20000,88.74000,17422.54800,913.06000,79.46000,CLOSED_TP
SHORT_ORIG,2024-09-16 14:30:00,32.70809,2024-09-16 14:30:00,31.70809,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2024-09-17 16:15:00,32.60103,2024-09-17 16:15:00,31.60103,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2024-09-18 00:45:00,32.58590,2024-09-18 00:45:00,31.58590,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
LONG,2024-09-16 14:30:00,30.70809,2024-09-18 18:30:00,31.20809,0.01000,2200.00000,-39.94000,88.74000,2066.62720,2071.32000,79.46000,CLOSED_TP
LONG,2024-09-17 16:15:00,30.60103,2024-09-18 18:30:00,31.10103,0.01000,2200.00000,-19.97000,88.74000,1595.55440,2091.29000,79.46000,CLOSED_TP
LONG,2024-09-18 00:45:00,30.58590,2024-09-18 18:30:00,31.08590,0.01000,2200.00000,-0.00000,88.74000,1529.00880,2111.26000,79.46000,CLOSED_TP
SHORT_ORIG,2024-09-18 19:00:00,32.58590,2024-09-18 19:00:00,31.58590,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2024-09-18 19:15:00,32.08590,2024-09-18 19:15:00,31.08590,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2024-09-19 01:00:00,32.03537,2024-09-19 01:00:00,31.03537,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
LONG,2024-09-18 19:15:00,30.08590,2024-09-19 05:00:00,30.58590,0.01000,2200.00000,-19.97000,88.74000,1607.76880,2091.29000,79.46000,CLOSED_TP
LONG,2024-09-19 01:00:00,30.03537,2024-09-19 05:00:00,30.53537,0.01000,2200.00000,-0.00000,88.74000,572.74140,2111.26000,79.46000,CLOSED_TP
LONG,2024-09-18 19:00:00,30.58590,2024-09-19 07:00:00,31.08590,0.01000,2200.00000,-19.97000,88.74000,3807.76880,2091.29000,79.46000,CLOSED_TP
LONG,2024-05-30 01:30:00,31.86249,2024-09-19 12:15:00,31.25420,0.01000,-2676.46280,-2236.64000,88.74000,23722.98280,-5001.84280,79.46000,CLOSED_90_DAY_RULE
LONG,2024-05-22 02:45:00,31.87801,2024-09-20 08:30:00,31.29520,0.01000,-2564.35960,-2416.37000,88.74000,23791.27960,-5069.46960,79.46000,CLOSED_90_DAY_RULE
LONG,2024-05-29 01:00:00,31.89124,2024-09-20 08:30:00,31.29520,0.01000,-2622.58700,-2276.58000,88.74000,23849.50700,-4987.90700,79.46000,CLOSED_90_DAY_RULE
SHORT_ORIG,2024-09-23 06:30:00,32.91694,2024-09-23 06:30:00,31.91694,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2024-09-23 07:45:00,32.41694,2024-09-23 07:45:00,31.41694,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
LONG,2024-09-23 07:45:00,30.41694,2024-09-23 13:00:00,30.91694,0.01000,2200.00000,-0.00000,88.74000,262.84940,2111.26000,79.46000,CLOSED_TP
LONG,2024-07-17 05:45:00,30.93057,2024-09-24 15:00:00,31.43057,0.01000,2200.00000,-1377.93000,88.74000,19622.54800,733.33000,79.46000,CLOSED_TP
LONG,2024-09-23 06:30:00,30.91694,2024-09-24 15:00:00,31.41694,0.01000,2200.00000,-19.97000,88.74000,2462.84940,2091.29000,79.46000,CLOSED_TP
LONG,2024-07-12 01:15:00,31.22529,2024-09-24 16:00:00,31.72529,0.01000,2200.00000,-1477.78000,88.74000,20919.31160,633.48000,79.46000,CLOSED_TP
SHORT_ORIG,2024-09-25 01:30:00,33.98059,2024-09-25 01:30:00,32.98059,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
